playerTeam,home_or_away,TotalShotsFor,TotalShotsAgainst
ANA,AWAY,2064,2689
ARI,AWAY,2226,2558
BOS,AWAY,2563,3103
BUF,AWAY,2310,2579
CAR,AWAY,3239,2408
CBJ,AWAY,2523,2729
CGY,AWAY,2550,2598
CHI,AWAY,2110,2639
COL,AWAY,3045,2901
DAL,AWAY,3265,3057
DET,AWAY,2288,2743
EDM,AWAY,3403,2959
FLA,AWAY,3329,2907
LAK,AWAY,2744,2538
MIN,AWAY,2531,2525
MTL,AWAY,2139,2759
NJD,AWAY,2495,2451
NSH,AWAY,2745,2668
NYI,AWAY,2509,3071
NYR,AWAY,2967,3212
OTT,AWAY,2597,2504
PHI,AWAY,2576,2560
PIT,AWAY,2564,2481
SEA,AWAY,2524,2473
SJS,AWAY,2169,3001
STL,AWAY,2260,2619
TBL,AWAY,2576,2618
TOR,AWAY,2854,2792
VAN,AWAY,2663,2762
VGK,AWAY,2705,2948
WPG,AWAY,2539,2590
WSH,AWAY,2340,2798
ANA,HOME,2267,2621
ARI,HOME,2424,2572
BOS,HOME,2739,2890
BUF,HOME,2616,2272
CAR,HOME,3468,2257
CBJ,HOME,2529,2786
CGY,HOME,2707,2411
CHI,HOME,2146,2626
COL,HOME,3062,2620
DAL,HOME,3285,2921
DET,HOME,2393,2594
EDM,HOME,3461,2982
FLA,HOME,3942,2841
LAK,HOME,2784,2444
MIN,HOME,2473,2409
MTL,HOME,2394,2777
NJD,HOME,2637,2301
NSH,HOME,2795,2478
NYI,HOME,2602,2860
NYR,HOME,3177,2872
OTT,HOME,2591,2388
PHI,HOME,2676,2357
PIT,HOME,2797,2562
SEA,HOME,2515,2371
SJS,HOME,2201,2825
STL,HOME,2291,2531
TBL,HOME,2678,2464
TOR,HOME,2848,2699
VAN,HOME,2877,2613
VGK,HOME,2726,2767
WPG,HOME,2670,2613
WSH,HOME,2469,2688
