playerTeam,home_or_away,TotalGoalsFor,TotalGoalsAgainst
ANA,AWAY,9,53
ARI,AWAY,3,26
BOS,AWAY,2,24
BUF,AWAY,3,27
CAR,AWAY,6,24
CBJ,AWAY,3,34
CGY,AWAY,6,19
CHI,AWAY,2,31
COL,AWAY,2,28
DAL,AWAY,9,26
DET,AWAY,1,24
EDM,AWAY,6,38
FLA,AWAY,1,18
LAK,AWAY,4,26
MIN,AWAY,2,32
MTL,AWAY,3,27
NJD,AWAY,1,23
NSH,AWAY,2,29
NYI,AWAY,4,31
NYR,AWAY,6,24
OTT,AWAY,4,29
PHI,AWAY,9,20
PIT,AWAY,1,24
SEA,AWAY,4,22
SJS,AWAY,3,23
STL,AWAY,7,25
TBL,AWAY,2,23
TOR,AWAY,4,25
VAN,AWAY,2,26
VGK,AWAY,3,25
WPG,AWAY,1,28
WSH,AWAY,1,27
ANA,HOME,1,31
ARI,HOME,4,29
BOS,HOME,4,24
BUF,HOME,3,20
CAR,HOME,3,19
CBJ,HOME,1,19
CGY,HOME,4,25
CHI,HOME,0,22
COL,HOME,4,28
DAL,HOME,3,26
DET,HOME,4,23
EDM,HOME,3,17
FLA,HOME,8,31
LAK,HOME,4,17
MIN,HOME,1,30
MTL,HOME,4,32
NJD,HOME,2,21
NSH,HOME,4,23
NYI,HOME,6,28
NYR,HOME,7,21
OTT,HOME,2,28
PHI,HOME,7,15
PIT,HOME,3,18
SEA,HOME,1,18
SJS,HOME,0,33
STL,HOME,4,19
TBL,HOME,4,15
TOR,HOME,1,30
VAN,HOME,5,26
VGK,HOME,6,19
WPG,HOME,1,26
WSH,HOME,2,27
